dataset,controller,headroom_bin,mean_certified_headroom,mean_exact_headroom,exact_headroom_positive_rate,benchmark_safe_rate,outside_safe_rate,negative_drift_rate,mean_drift,rows
smith,rsrc_no_recovery,"(0.03,0.08]",0.058650433547213617,0.15817647490011127,1.0,0.24242424242424243,0.9848484848484849,1.0,-0.21438997229185341,66
smith,rsrc_no_recovery,"(0.08,0.15]",0.11742718724701877,0.21545779352110866,1.0,0.22962962962962963,0.8888888888888888,1.0,-0.25462706660975953,135
smith,rsrc_no_recovery,>0.15,0.19290580171235838,0.26907478671417934,1.0,0.38461538461538464,0.7412587412587412,1.0,-0.2994780072874487,143
smith,se_mpc,<=0,-0.26605470798350556,-0.17061721495583423,0.2097902097902098,0.0979020979020979,1.0,0.44755244755244755,0.07749623018786507,143
smith,se_mpc,"(0,0.03]",0.015872829942958123,0.13543891945747133,1.0,0.16,1.0,1.0,-0.19975042494282544,25
smith,se_mpc,"(0.03,0.08]",0.059867049565636585,0.17404195218208002,1.0,0.2597402597402597,0.987012987012987,1.0,-0.2262150006574917,77
smith,se_mpc,"(0.08,0.15]",0.11681490772120941,0.22202693519285477,1.0,0.2265625,0.8671875,1.0,-0.2596160872749372,128
smith,se_mpc,>0.15,0.18587222820783592,0.272704915197056,1.0,0.41732283464566927,0.7401574803149606,1.0,-0.3023571516528593,127
smith,static_aggressive,<=0,-0.28979882525778816,-0.18972084676770148,0.3815789473684211,0.04824561403508772,1.0,0.6359649122807017,-0.02186388364633579,228
smith,static_aggressive,"(0,0.03]",0.01430677780147918,0.13691269397256106,1.0,0.10256410256410256,1.0,1.0,-0.24896989511251724,39
smith,static_aggressive,"(0.03,0.08]",0.05492236242056039,0.1710970347361472,1.0,0.09859154929577464,0.9859154929577465,1.0,-0.2727073897043458,71
smith,static_aggressive,"(0.08,0.15]",0.11297241017761293,0.21502056062557684,1.0,0.12727272727272726,0.9818181818181818,1.0,-0.30281175664756443,110
smith,static_aggressive,>0.15,0.17582458500484657,0.26106663975979505,1.0,0.2692307692307692,0.9423076923076923,1.0,-0.34232464605617563,52
smith,static_conservative,<=0,-0.26569973786579554,-0.17026227695015347,0.2097902097902098,0.1048951048951049,1.0,0.46153846153846156,0.07672985085698776,143
smith,static_conservative,"(0,0.03]",0.016156250968239916,0.13572210777769503,1.0,0.2,1.0,1.0,-0.20031185643634977,25
smith,static_conservative,"(0.03,0.08]",0.05972409147542398,0.1729977335725612,1.0,0.25333333333333335,1.0,1.0,-0.2245123736923423,75
smith,static_conservative,"(0.08,0.15]",0.11518672323134391,0.21922516889673102,1.0,0.22033898305084745,0.923728813559322,1.0,-0.25101392400508693,118
smith,static_conservative,>0.15,0.18791631666728842,0.2766615183949004,1.0,0.49640287769784175,0.6546762589928058,1.0,-0.300502398572214,139
test,adaptive_threshold,<=0,-0.11427555631011244,0.004640227927129174,0.6470588235294118,0.47058823529411764,1.0,0.9411764705882353,-0.157403573795698,34
test,adaptive_threshold,"(0,0.03]",0.01749475768934023,0.1311302513231644,1.0,0.6176470588235294,1.0,1.0,-0.26514661885112334,34
test,adaptive_threshold,"(0.03,0.08]",0.05655231953029107,0.17417944418739104,1.0,0.7472527472527473,1.0,1.0,-0.29458038301779915,91
test,adaptive_threshold,"(0.08,0.15]",0.11910901722990046,0.21876733552516445,1.0,0.8227848101265823,0.6244725738396625,1.0,-0.34963483077245733,237
test,adaptive_threshold,>0.15,0.17234422322127374,0.26129991364906957,1.0,0.8942307692307693,0.15384615384615385,1.0,-0.41098757868036195,104
test,always_verify,<=0,-0.13539594243387942,-0.01726021971373939,0.6666666666666666,0.1111111111111111,1.0,0.8888888888888888,-0.12849839124695134,18
test,always_verify,"(0,0.03]",0.017981365908619006,0.12678521972430096,1.0,0.2,1.0,1.0,-0.24339874356608035,5
test,always_verify,"(0.03,0.08]",0.06334487963254244,0.21565487611444126,1.0,0.24,1.0,1.0,-0.3020721749023338,25
test,always_verify,"(0.08,0.15]",0.12157932742436751,0.24975446594958556,1.0,0.31756756756756754,0.8175675675675675,1.0,-0.34612450814519613,148
test,always_verify,>0.15,0.19843328450250625,0.2884699555024204,1.0,0.40789473684210525,0.7467105263157895,1.0,-0.38314888133793434,304
test,always_verify_throttle,<=0,-0.14309657016754695,-0.02843302431953557,0.6470588235294118,0.17647058823529413,1.0,0.8823529411764706,-0.11953614961062074,17
test,always_verify_throttle,"(0,0.03]",0.015348436758948406,0.1355455461764042,1.0,0.3333333333333333,1.0,1.0,-0.25285269897639284,6
test,always_verify_throttle,"(0.03,0.08]",0.06303330828953106,0.21478721243368185,1.0,0.20833333333333334,1.0,1.0,-0.3034980125466023,24
