dataset,controller,headroom_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
test,adaptive_threshold,"(0.03,0.08]",-0.29458038301779915,0.0,1.0,0.0,91
test,adaptive_threshold,"(0.08,0.15]",-0.34963483077245733,-9.140947758480233e-05,1.0,0.008438818565400843,237
test,adaptive_threshold,>0.15,-0.41098757868036195,0.0,1.0,0.0,104
test,always_verify,<=0,-0.12849839124695134,0.013968006267980341,0.8888888888888888,0.0,18
test,always_verify,"(0,0.03]",-0.24339874356608035,-0.044707941119646676,1.0,0.2,5
test,always_verify,"(0.03,0.08]",-0.3020721749023338,0.0,1.0,0.0,25
test,always_verify,"(0.08,0.15]",-0.34612450814519613,-5.7306657945976345e-06,1.0,0.006756756756756757,148
test,always_verify,>0.15,-0.38314888133793434,-8.893509436780356e-05,1.0,0.003289473684210526,304
test,always_verify_throttle,<=0,-0.11953614961062074,0.014789309630722235,0.8823529411764706,0.0,17
test,always_verify_throttle,"(0,0.03]",-0.25285269897639284,-0.03725630659740678,1.0,0.16666666666666666,6
test,always_verify_throttle,"(0.03,0.08]",-0.3034980125466023,0.0,1.0,0.0,24
test,always_verify_throttle,"(0.08,0.15]",-0.33877441091977245,-6.004884605354921e-06,1.0,0.0070921985815602835,141
test,always_verify_throttle,>0.15,-0.38072994243141656,-8.664658784769948e-05,1.0,0.003205128205128205,312
test,camc_rsrc_anchor,<=0,-0.1323005444554527,0.013064501909131934,0.8947368421052632,0.0,19
test,camc_rsrc_anchor,"(0,0.03]",-0.24411299508792197,-0.037028326186173334,1.0,0.16666666666666666,6
test,camc_rsrc_anchor,"(0.03,0.08]",-0.3049963377804119,0.0,1.0,0.0,35
test,camc_rsrc_anchor,"(0.08,0.15]",-0.35738889943154256,-4.110970102082964e-06,1.0,0.004975124378109453,201
test,camc_rsrc_anchor,>0.15,-0.40423239943549744,-0.0001055618165939249,1.0,0.0041841004184100415,239
test,camc_sempc_candidate,<=0,-0.13598381122250816,0.011286795202077917,0.9090909090909091,0.0,22
test,camc_sempc_candidate,"(0,0.03]",-0.27346407626878333,-0.027775582043787297,1.0,0.125,8
test,camc_sempc_candidate,"(0.03,0.08]",-0.3029040224182464,0.0,1.0,0.0,46
test,camc_sempc_candidate,"(0.08,0.15]",-0.35499679697821623,-3.6955085894105896e-06,1.0,0.0044444444444444444,225
test,camc_sempc_candidate,>0.15,-0.40763701990458723,-0.00012700175207436393,1.0,0.005025125628140704,199
test,camc_static_anchor,<=0,-0.13579494833539593,0.013061692620223733,0.8947368421052632,0.0,19
test,camc_static_anchor,"(0,0.03]",-0.2472019436199471,-0.0370246039446633,1.0,0.16666666666666666,6
test,camc_static_anchor,"(0.03,0.08]",-0.31169895486896143,0.0,1.0,0.0,28
test,camc_static_anchor,"(0.08,0.15]",-0.3419206649582156,-5.454650061671168e-06,1.0,0.006622516556291391,151
test,camc_static_anchor,>0.15,-0.39275654752704225,-8.513812147621206e-05,1.0,0.0033783783783783786,296
test,greedy_myopic,<=0,-0.2504580702127223,0.0003050506839278486,0.967741935483871,0.010752688172043012,93
test,greedy_myopic,"(0,0.03]",-0.32062193810434575,0.0,1.0,0.0,65
