dataset,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
rebench,always_verify_throttle,always_verify,discounted_cost,-0.0006925393446661765,-0.0007203306473595461,-0.0006647480419728069
rebench,always_verify_throttle,always_verify,safety_augmented_cost_medium,-0.0006925393446661765,-0.0007203306473595461,-0.0006647480419728069
rebench,always_verify_throttle,always_verify,success_rate,0.0,0.0,0.0
rebench,always_verify_throttle,always_verify,overload_rate,0.0,0.0,0.0
rebench,always_verify_throttle,always_verify,safe_occupancy_rate,0.021999999999999992,0.015999999999999986,0.027999999999999997
rebench,always_verify_throttle,always_verify,benchmark_safe_occupancy_rate,0.03,0.02799999999999997,0.03200000000000003
rebench,always_verify_throttle,always_verify,verification_rate,0.0,0.0,0.0
rebench,always_verify_throttle,always_verify,certificate_service_violation_rate,0.0,0.0,0.0
rebench,always_verify_throttle,always_verify,negative_drift_rate_outside_safe,-0.00032765788244643046,-0.0005610472882714435,-9.426847662141746e-05
rebench,always_verify_throttle,always_verify,avg_return_time_to_safe,0.11636070853462144,-0.14814814814814792,0.3808695652173908
smith,rsrc,static_conservative,discounted_cost,0.0006694117124494414,0.0006045576756644744,0.0007342657492344085
smith,rsrc,static_conservative,safety_augmented_cost_medium,0.000669411712449608,0.0006045576756645854,0.0007342657492346305
smith,rsrc,static_conservative,success_rate,0.0,0.0,0.0
smith,rsrc,static_conservative,overload_rate,0.0,0.0,0.0
smith,rsrc,static_conservative,safe_occupancy_rate,-0.01199999999999999,-0.011999999999999997,-0.011999999999999983
smith,rsrc,static_conservative,benchmark_safe_occupancy_rate,-0.02800000000000001,-0.03600000000000003,-0.01999999999999999
smith,rsrc,static_conservative,verification_rate,0.0,0.0,0.0
smith,rsrc,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,static_conservative,negative_drift_rate_outside_safe,-0.0023221567314498093,-0.0071074595722483425,0.002463146109348724
smith,rsrc,static_conservative,avg_return_time_to_safe,0.43571428571428683,0.2142857142857153,0.6571428571428584
smith,se_mpc,static_conservative,discounted_cost,0.0006694117124494414,0.0006045576756644744,0.0007342657492344085
smith,se_mpc,static_conservative,safety_augmented_cost_medium,0.000669411712449608,0.0006045576756645854,0.0007342657492346305
smith,se_mpc,static_conservative,success_rate,0.0,0.0,0.0
smith,se_mpc,static_conservative,overload_rate,0.0,0.0,0.0
smith,se_mpc,static_conservative,safe_occupancy_rate,-0.01199999999999999,-0.011999999999999997,-0.011999999999999983
smith,se_mpc,static_conservative,benchmark_safe_occupancy_rate,-0.02800000000000001,-0.03600000000000003,-0.01999999999999999
smith,se_mpc,static_conservative,verification_rate,0.0,0.0,0.0
smith,se_mpc,static_conservative,certificate_service_violation_rate,0.0,0.0,0.0
smith,se_mpc,static_conservative,negative_drift_rate_outside_safe,-0.0023221567314498093,-0.0071074595722483425,0.002463146109348724
smith,se_mpc,static_conservative,avg_return_time_to_safe,0.43571428571428683,0.2142857142857153,0.6571428571428584
smith,rsrc,headroom_only,discounted_cost,-0.0021407411631836903,-0.004245592397868592,-3.5889928498789025e-05
smith,rsrc,headroom_only,safety_augmented_cost_medium,-0.0036407411631836917,-0.007245592397868705,-3.5889928498678e-05
smith,rsrc,headroom_only,success_rate,0.0020000000000000018,0.0,0.0040000000000000036
smith,rsrc,headroom_only,overload_rate,0.0,0.0,0.0
smith,rsrc,headroom_only,safe_occupancy_rate,-0.003999999999999997,-0.0040000000000000036,-0.00399999999999999
smith,rsrc,headroom_only,benchmark_safe_occupancy_rate,0.0020000000000000018,0.0,0.0040000000000000036
smith,rsrc,headroom_only,verification_rate,0.0,0.0,0.0
smith,rsrc,headroom_only,certificate_service_violation_rate,0.0,0.0,0.0
smith,rsrc,headroom_only,negative_drift_rate_outside_safe,0.0007838156672181906,0.0007536606373814703,0.000813970697054911
smith,rsrc,headroom_only,avg_return_time_to_safe,0.6130952380952381,0.05000000000000071,1.1761904761904756
smith,rsrc,rsrc_no_recovery,discounted_cost,-0.0021407411631836903,-0.004245592397868592,-3.5889928498789025e-05
smith,rsrc,rsrc_no_recovery,safety_augmented_cost_medium,-0.0036407411631836917,-0.007245592397868705,-3.5889928498678e-05
smith,rsrc,rsrc_no_recovery,success_rate,0.0020000000000000018,0.0,0.0040000000000000036
smith,rsrc,rsrc_no_recovery,overload_rate,0.0,0.0,0.0
smith,rsrc,rsrc_no_recovery,safe_occupancy_rate,-0.003999999999999997,-0.0040000000000000036,-0.00399999999999999
