dataset,controller,slack_quantile,rows,activation_rate,mean_certified_margin,mean_certified_slack,post_switch_violation_rate,mean_success,mean_drift
smith,camc_rsrc_anchor,Q2,97,0.0,,-0.06880518158958032,,0.26804123711340205,-0.2530468027586732
smith,camc_rsrc_anchor,Q3,45,0.022222222222222223,-0.07246087901543682,-0.019655007043587906,0.0,0.13333333333333333,-0.26785035416259373
smith,camc_rsrc_anchor,Q4,48,0.5208333333333334,0.09198689704126306,0.02196395940404323,0.0,0.3541666666666667,-0.3251260979615154
smith,camc_rsrc_anchor,Q5,13,1.0,0.21404290386120126,0.08154646246844502,0.0,0.07692307692307693,-0.3845047205566408
smith,camc_sempc_candidate,Q1,297,0.0,,-0.26079587853121505,,0.21212121212121213,-0.08715757862672806
smith,camc_sempc_candidate,Q2,97,0.0,,-0.06880518158958032,,0.26804123711340205,-0.2530468027586732
smith,camc_sempc_candidate,Q3,45,0.022222222222222223,-0.07246087901543682,-0.019655007043587906,0.0,0.13333333333333333,-0.26785035416259373
smith,camc_sempc_candidate,Q4,48,0.5208333333333334,0.09198689704126306,0.02196395940404323,0.0,0.3541666666666667,-0.3251260979615154
smith,camc_sempc_candidate,Q5,13,1.0,0.21404290386120126,0.08154646246844502,0.0,0.07692307692307693,-0.3845047205566408
smith,camc_static_anchor,Q1,296,0.0,,-0.2610521788735971,,0.21283783783783783,-0.08757106266524195
smith,camc_static_anchor,Q2,102,0.0,,-0.06795338377123837,,0.24509803921568626,-0.25165812239732904
smith,camc_static_anchor,Q3,56,0.0,-0.23372007726654875,-0.012106155366975638,,0.21428571428571427,-0.28495846545022513
smith,camc_static_anchor,Q4,36,0.0,-0.16631842656168108,0.023171783705568178,,0.4166666666666667,-0.30892768611095645
smith,camc_static_anchor,Q5,10,0.0,-0.050546675629801086,0.07280396880367618,,0.2,-0.35940984007769516
smith,pareto_camc_rsrc_anchor,Q1,296,0.0,,-0.26109087356989025,,0.21283783783783783,-0.08784896922038062
smith,pareto_camc_rsrc_anchor,Q2,104,0.0,,-0.06842981866746865,,0.2403846153846154,-0.24993132211035626
smith,pareto_camc_rsrc_anchor,Q3,45,0.0,-0.13187384068640876,-0.015351154986631043,,0.17777777777777778,-0.280937848355997
smith,pareto_camc_rsrc_anchor,Q4,34,0.058823529411764705,-0.132884191306876,0.022046540962055886,0.0,0.35294117647058826,-0.3120525593757166
smith,pareto_camc_rsrc_anchor,Q5,21,0.0,-0.14674726223110943,0.07579895543052999,,0.42857142857142855,-0.3339290861972649
smith,pareto_camc_sempc_candidate,Q1,296,0.0,,-0.26109087356989025,,0.21283783783783783,-0.08784896922038062
smith,pareto_camc_sempc_candidate,Q2,104,0.0,,-0.06842981866746865,,0.2403846153846154,-0.24993132211035626
