dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
smith,adaptive_threshold,"(0.08,0.15]",<=0.5,-0.27236990384170384,-0.011438519496267409,1.0,0.2251655629139073,0.5298013245033113,151
smith,adaptive_threshold,"(0.08,0.15]","(0.5,1]",-0.2562323609260248,-0.2448797350651522,1.0,1.0,0.2,5
smith,adaptive_threshold,>0.15,<=0.5,-0.3154169171930185,-0.0038523262542003857,1.0,0.18,0.66,100
smith,always_verify,<=0,<=0.5,0.08722764359774632,0.0626039078595214,0.4351145038167939,0.08396946564885496,0.10687022900763359,131
smith,always_verify,<=0,"(0.5,1]",-0.046327269738137215,-0.042529710876608146,0.6666666666666666,0.6666666666666666,0.0,12
smith,always_verify,"(0,0.03]",<=0.5,-0.19103132482898263,-0.011079252087945503,1.0,0.35,0.15,20
smith,always_verify,"(0,0.03]","(0.5,1]",-0.21686358090819602,-0.2508207547691533,1.0,1.0,0.2,5
smith,always_verify,"(0.03,0.08]",<=0.5,-0.22377443799304525,-0.028555170097133455,1.0,0.373134328358209,0.208955223880597,67
smith,always_verify,"(0.03,0.08]","(0.5,1]",-0.2699601632459032,-0.24384425756070693,1.0,1.0,0.5,4
smith,always_verify,"(0.08,0.15]",<=0.5,-0.25855467470315446,-0.009379793791851207,1.0,0.224,0.216,125
smith,always_verify,"(0.08,0.15]","(0.5,1]",-0.2523505072205192,-0.24750751698633172,1.0,1.0,0.0,4
smith,always_verify,>0.15,<=0.5,-0.29852058012925675,-0.004186977898832738,1.0,0.16666666666666666,0.3333333333333333,132
smith,always_verify_throttle,<=0,<=0.5,0.08695448109658416,0.06255671003842957,0.4351145038167939,0.08396946564885496,0.11450381679389313,131
smith,always_verify_throttle,<=0,"(0.5,1]",-0.04633650282788384,-0.04254287345451665,0.6666666666666666,0.6666666666666666,0.0,12
smith,always_verify_throttle,"(0,0.03]",<=0.5,-0.19128288848157124,-0.011060289981377487,1.0,0.35,0.15,20
smith,always_verify_throttle,"(0,0.03]","(0.5,1]",-0.216875480681904,-0.25081642582074987,1.0,1.0,0.2,5
smith,always_verify_throttle,"(0.03,0.08]",<=0.5,-0.22095508664788507,-0.028928033357834105,1.0,0.3787878787878788,0.19696969696969696,66
smith,always_verify_throttle,"(0.03,0.08]","(0.5,1]",-0.26996041261444575,-0.24384414123817477,1.0,1.0,0.5,4
smith,always_verify_throttle,"(0.08,0.15]",<=0.5,-0.25608187471607197,-0.009595754452147819,1.0,0.22131147540983606,0.21311475409836064,122
smith,always_verify_throttle,"(0.08,0.15]","(0.5,1]",-0.25235576891269734,-0.2475008308742126,1.0,1.0,0.0,4
smith,always_verify_throttle,>0.15,<=0.5,-0.2977722338928923,-0.004066084304429568,1.0,0.16911764705882354,0.375,136
smith,camc_rsrc_anchor,<=0,<=0.5,0.08675713453812398,0.06276023899585004,0.4318181818181818,0.08333333333333333,0.11363636363636363,132
smith,camc_rsrc_anchor,<=0,"(0.5,1]",-0.06063851464437208,-0.06894987705080835,0.6923076923076923,0.6923076923076923,0.0,13
smith,camc_rsrc_anchor,"(0,0.03]",<=0.5,-0.19616883347237432,-0.016919988926729662,1.0,0.3333333333333333,0.23809523809523808,21
smith,camc_rsrc_anchor,"(0,0.03]","(0.5,1]",-0.20143532351631893,-0.20185736824908992,1.0,1.0,0.25,4
smith,camc_rsrc_anchor,"(0.03,0.08]",<=0.5,-0.22326841627944513,-0.027200899546159583,1.0,0.36231884057971014,0.2463768115942029,69
smith,camc_rsrc_anchor,"(0.03,0.08]","(0.5,1]",-0.2741382023460635,-0.26657440811012856,1.0,1.0,0.4,5
smith,camc_rsrc_anchor,"(0.08,0.15]",<=0.5,-0.2629314980405319,-0.00856827928831461,1.0,0.21052631578947367,0.3383458646616541,133
smith,camc_rsrc_anchor,"(0.08,0.15]","(0.5,1]",-0.23981584219377652,-0.2315390227599299,1.0,1.0,0.0,3
smith,camc_rsrc_anchor,>0.15,<=0.5,-0.30301688747601335,-0.004742749516831158,1.0,0.19166666666666668,0.43333333333333335,120
smith,camc_sempc_candidate,<=0,<=0.5,0.08675713453812398,0.06276023899585004,0.4318181818181818,0.08333333333333333,0.11363636363636363,132
smith,camc_sempc_candidate,<=0,"(0.5,1]",-0.06063851464437208,-0.06894987705080835,0.6923076923076923,0.6923076923076923,0.0,13
smith,camc_sempc_candidate,"(0,0.03]",<=0.5,-0.19616883347237432,-0.016919988926729662,1.0,0.3333333333333333,0.23809523809523808,21
smith,camc_sempc_candidate,"(0,0.03]","(0.5,1]",-0.20143532351631893,-0.20185736824908992,1.0,1.0,0.25,4
smith,camc_sempc_candidate,"(0.03,0.08]",<=0.5,-0.22326841627944513,-0.027200899546159583,1.0,0.36231884057971014,0.2463768115942029,69
smith,camc_sempc_candidate,"(0.03,0.08]","(0.5,1]",-0.2741382023460635,-0.26657440811012856,1.0,1.0,0.4,5
smith,camc_sempc_candidate,"(0.08,0.15]",<=0.5,-0.2629314980405319,-0.00856827928831461,1.0,0.21052631578947367,0.3383458646616541,133
smith,camc_sempc_candidate,"(0.08,0.15]","(0.5,1]",-0.23981584219377652,-0.2315390227599299,1.0,1.0,0.0,3
smith,camc_sempc_candidate,>0.15,<=0.5,-0.30301688747601335,-0.004742749516831158,1.0,0.19166666666666668,0.43333333333333335,120
smith,camc_static_anchor,<=0,<=0.5,0.08785307975879007,0.0629105315633646,0.4351145038167939,0.08396946564885496,0.11450381679389313,131
smith,camc_static_anchor,<=0,"(0.5,1]",-0.0446987313210209,-0.039749523538744454,0.75,0.75,0.0,12
smith,camc_static_anchor,"(0,0.03]",<=0.5,-0.19653209499441857,-0.017761396331480172,1.0,0.4,0.2,20
smith,camc_static_anchor,"(0,0.03]","(0.5,1]",-0.21543090220407451,-0.2506589980668283,1.0,1.0,0.2,5
smith,camc_static_anchor,"(0.03,0.08]",<=0.5,-0.22096822738957575,-0.02621981332894996,1.0,0.35714285714285715,0.24285714285714285,70
smith,camc_static_anchor,"(0.03,0.08]","(0.5,1]",-0.27413042193107395,-0.2626734729333297,1.0,1.0,0.4,5
smith,camc_static_anchor,"(0.08,0.15]",<=0.5,-0.2513060801286284,-0.009883530670757609,1.0,0.22608695652173913,0.22608695652173913,115
smith,camc_static_anchor,"(0.08,0.15]","(0.5,1]",-0.23981460593599657,-0.23153905454523757,1.0,1.0,0.0,3
smith,camc_static_anchor,>0.15,<=0.5,-0.300502398572214,-0.00405634473015921,1.0,0.17266187050359713,0.49640287769784175,139
smith,greedy_myopic,<=0,<=0.5,0.0018507559567691465,0.042076402854450135,0.5885416666666666,0.16666666666666666,0.08333333333333333,192
smith,greedy_myopic,<=0,"(0.5,1]",-0.14186946405618808,-0.14072864904358187,0.8260869565217391,0.8260869565217391,0.0,23
