dataset,controller,epsilon_s,load_threshold,rows,mean_drift,mean_drift_ci_low,mean_drift_ci_high,negative_drift_rate,negative_drift_rate_ci_low,negative_drift_rate_ci_high,mean_delta_sq,mean_delta_sq_ci_low,mean_delta_sq_ci_high,negative_delta_sq_rate,negative_delta_sq_rate_ci_low,negative_delta_sq_rate_ci_high,mean_certified_headroom,mean_exact_headroom
smith,pareto_camc_rsrc_anchor,0.03,0.5,8,-0.26126198796012484,-0.28332840208011323,-0.23215170069051067,1.0,1.0,1.0,-0.2509980730280083,-0.28291700954063254,-0.21682288784247025,1.0,1.0,1.0,0.07853702103833128,0.1713251657495547
smith,pareto_camc_rsrc_anchor,0.03,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_rsrc_anchor,0.08,0.35,8,-0.26636711061901464,-0.2884658858785294,-0.23726954349049334,1.0,1.0,1.0,-0.17677705478722586,-0.21981824300991923,-0.1389159292837548,1.0,1.0,1.0,0.11384099673901622,0.19454493822074628
smith,pareto_camc_rsrc_anchor,0.08,0.5,3,-0.23981460040577263,-0.2757736617853514,-0.1701153796386694,1.0,1.0,1.0,-0.23153905886476836,-0.3177142201947728,-0.16931688988901697,1.0,1.0,1.0,0.09186311341553988,0.17673642984255858
smith,pareto_camc_rsrc_anchor,0.08,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_sempc_candidate,0.0,0.35,29,-0.24545480718669518,-0.2607390112329762,-0.229392092609858,1.0,1.0,1.0,-0.18822398611456645,-0.2169306032426835,-0.16407073199412756,1.0,1.0,1.0,0.0645435345598163,0.15918141016824955
smith,pareto_camc_sempc_candidate,0.0,0.5,13,-0.2436245100111609,-0.2678010072878634,-0.21328772479571742,1.0,1.0,1.0,-0.25086552065741025,-0.29795072436195413,-0.20998313620239478,1.0,1.0,1.0,0.051786329522485554,0.15075371834128665
smith,pareto_camc_sempc_candidate,0.0,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_sempc_candidate,0.03,0.35,22,-0.25312863383136913,-0.26780934183163757,-0.2369524238155362,1.0,1.0,1.0,-0.17874248118984268,-0.2099173223508032,-0.154064250350536,1.0,1.0,1.0,0.0816083022044817,0.17023926624779903
smith,pareto_camc_sempc_candidate,0.03,0.5,8,-0.26126198796012484,-0.28332840208011323,-0.23215170069051067,1.0,1.0,1.0,-0.2509980730280083,-0.28291700954063254,-0.21682288784247025,1.0,1.0,1.0,0.07853702103833128,0.1713251657495547
smith,pareto_camc_sempc_candidate,0.03,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_sempc_candidate,0.08,0.35,8,-0.26636711061901464,-0.2884658858785294,-0.23726954349049334,1.0,1.0,1.0,-0.17677705478722586,-0.21981824300991923,-0.1389159292837548,1.0,1.0,1.0,0.11384099673901622,0.19454493822074628
smith,pareto_camc_sempc_candidate,0.08,0.5,3,-0.23981460040577263,-0.2757736617853514,-0.1701153796386694,1.0,1.0,1.0,-0.23153905886476836,-0.3177142201947728,-0.16931688988901697,1.0,1.0,1.0,0.09186311341553988,0.17673642984255858
smith,pareto_camc_sempc_candidate,0.08,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_static_anchor,0.0,0.35,29,-0.24546278766315932,-0.260743530308164,-0.22939930377280585,1.0,1.0,1.0,-0.1882215529773272,-0.21693436431581012,-0.16407417970617125,1.0,1.0,1.0,0.06454718507168578,0.1591850432869058
smith,pareto_camc_static_anchor,0.0,0.5,13,-0.24363464911413327,-0.2678010107949712,-0.2132961028907248,1.0,1.0,1.0,-0.250867655279731,-0.29795697622279316,-0.20998954878023793,1.0,1.0,1.0,0.05178978890475186,0.1507571541798502
smith,pareto_camc_static_anchor,0.0,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_static_anchor,0.03,0.35,22,-0.2531331627816717,-0.2678093429521058,-0.23695253809408676,1.0,1.0,1.0,-0.1787380108967073,-0.20991296255350209,-0.15405989038205056,1.0,1.0,1.0,0.0816110707571982,0.1702420257721036
smith,pareto_camc_static_anchor,0.03,0.5,8,-0.2612619909329199,-0.2833284061690375,-0.2321517028611385,1.0,1.0,1.0,-0.2509980660377952,-0.2829169903645725,-0.21682288770821054,1.0,1.0,1.0,0.0785370247456078,0.17132516942276316
smith,pareto_camc_static_anchor,0.03,1.0,0,,,,,,,,,,,,,,
smith,pareto_camc_static_anchor,0.08,0.35,8,-0.26636711278107283,-0.2884658862468935,-0.23726954551248144,1.0,1.0,1.0,-0.17677705310992672,-0.2198182396737373,-0.13891592911420328,1.0,1.0,1.0,0.1138409985206881,0.19454493998510752
smith,pareto_camc_static_anchor,0.08,0.5,3,-0.23981460593599657,-0.2757736617853514,-0.1701153796386694,1.0,1.0,1.0,-0.23153905454523757,-0.3177142072361804,-0.16931688988901697,1.0,1.0,1.0,0.09186311804712606,0.17673643442797607
smith,pareto_camc_static_anchor,0.08,1.0,0,,,,,,,,,,,,,,
smith,rsrc,0.0,0.35,29,-0.24521712594946346,-0.26049195402338066,-0.2290770027486457,1.0,1.0,1.0,-0.18837848636980206,-0.21691635991171246,-0.16426281855066308,1.0,1.0,1.0,0.06436668085671472,0.15900529203188524
smith,rsrc,0.0,0.5,13,-0.24339852655467895,-0.2677071897769963,-0.21327999331602146,1.0,1.0,1.0,-0.2508927245336027,-0.2978286730679863,-0.209944952455014,1.0,1.0,1.0,0.05162541475622046,0.15059356367484045
smith,rsrc,0.0,1.0,0,,,,,,,,,,,,,,
smith,rsrc,0.03,0.35,22,-0.2529067866349369,-0.26767125166541883,-0.23677882506603704,1.0,1.0,1.0,-0.17897306732041598,-0.21004742953746727,-0.15461262602891984,1.0,1.0,1.0,0.08143447544174032,0.17006614410138196
smith,rsrc,0.03,0.5,8,-0.2611355563956177,-0.2831023467245887,-0.232130734118564,1.0,1.0,1.0,-0.25112197937046166,-0.2830115830273538,-0.2169688637202659,1.0,1.0,1.0,0.07843265241412134,0.1712213388814514
smith,rsrc,0.03,1.0,0,,,,,,,,,,,,,,
smith,rsrc,0.08,0.35,8,-0.26613777942628836,-0.28781286174727333,-0.23723887100665436,1.0,1.0,1.0,-0.17692374475568756,-0.21994873639635226,-0.13932257972789525,1.0,1.0,1.0,0.11371021245205513,0.19441450825782777
smith,rsrc,0.08,0.5,3,-0.23981343488441395,-0.2757715668148926,-0.17011537958913303,1.0,1.0,1.0,-0.23153960071675017,-0.317715313590388,-0.1693168899392102,1.0,1.0,1.0,0.09186232525515566,0.17673564820952814
smith,rsrc,0.08,1.0,0,,,,,,,,,,,,,,
smith,se_mpc,0.0,0.35,29,-0.24521712594946346,-0.26049195402338066,-0.2290770027486457,1.0,1.0,1.0,-0.18837848636980206,-0.21691635991171246,-0.16426281855066308,1.0,1.0,1.0,0.06436668085671472,0.15900529203188524
smith,se_mpc,0.0,0.5,13,-0.24339852655467895,-0.2677071897769963,-0.21327999331602146,1.0,1.0,1.0,-0.2508927245336027,-0.2978286730679863,-0.209944952455014,1.0,1.0,1.0,0.05162541475622046,0.15059356367484045
smith,se_mpc,0.0,1.0,0,,,,,,,,,,,,,,
