dataset,comparison,controller_a,controller_b,metric,a_minus_b,ci_low,ci_high
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,fallback_rate,-0.006000000000000005,-0.01200000000000001,0.0
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,safe_set_nonempty_rate,0.005999999999999998,0.0,0.011999999999999997
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,avg_return_time_to_safe,-0.10714285714285765,-0.2142857142857153,0.0
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,camc_activation_rate,0.004,0.0,0.008
smith,Pareto-CAMC-RSRC minus RSRC anchor,pareto_camc_rsrc_anchor,rsrc,camc_post_switch_violation_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,discounted_cost,9.269779739656814e-05,0.0,0.00018539559479313628
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,safety_augmented_cost_medium,9.269779739662365e-05,0.0,0.0001853955947932473
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,success_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,overload_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,verification_rate,0.001333333333333353,0.0,0.002666666666666706
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,fallback_rate,0.892,0.864,0.92
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,safe_set_nonempty_rate,-0.0059999999999999915,-0.011999999999999983,0.0
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,avg_return_time_to_safe,0.3285714285714292,0.0,0.6571428571428584
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,camc_activation_rate,0.004,0.0,0.008
smith,Pareto-CAMC-SE-MPC minus static anchor,pareto_camc_sempc_candidate,static_conservative,camc_post_switch_violation_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,discounted_cost,-0.0005767139150528733,-0.0006045576756644744,-0.0005488701544412722
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,safety_augmented_cost_medium,-0.0005767139150529843,-0.0006045576756645854,-0.0005488701544413832
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,success_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,overload_rate,0.0,0.0,0.0
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,verification_rate,0.001333333333333353,0.0,0.002666666666666706
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,fallback_rate,-0.006000000000000005,-0.01200000000000001,0.0
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,safe_set_nonempty_rate,0.005999999999999998,0.0,0.011999999999999997
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,avg_return_time_to_safe,-0.10714285714285765,-0.2142857142857153,0.0
smith,Pareto-CAMC-SE-MPC minus SE-MPC candidate,pareto_camc_sempc_candidate,se_mpc,camc_activation_rate,0.004,0.0,0.008
